host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,neighbourhood_cleansed_encoded,amenities_encoded
1,1,92.0,1,0,1,1,0,0,1,0,8.0,9.0,0,1.0,1.0,1.0,999.0,1.0,1125,1.0,1125.0,0.0,31,61,336,1.0,0.0,4.96,5.0,5.0,5.0,4.96,4.93,4.93,7.0,0.21,16,20341
1,1,100.0,0,1,1,1,1,1,1,0,7.0,7.0,0,1.0,1.0,2.0,1350.0,3.0,1125,3.0,1125.0,1.0,30,48,137,21.0,0.0,4.91,4.89,4.9,4.99,4.99,4.94,4.87,3.0,2.56,5,17213
0,1,99.0,0,1,1,1,0,1,1,1,3.0,3.0,0,1.0,1.0,1.0,1314.0,1.0,1125,1.0,1125.0,0.0,20,50,325,14.0,0.0,4.84,4.91,4.96,4.9,4.8,4.91,4.83,3.0,2.08,5,21986
0,0,89.0,0,1,1,0,0,0,0,0,1.0,1.0,0,1.0,1.0,1.0,999.0,1.0,1125,1.0,1125.0,0.0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,5,1487
0,0,89.0,0,0,1,1,0,1,1,0,2.0,6.0,0,1.0,1.0,1.0,1913.0,1.0,730,1.0,1125.0,0.0,29,49,309,50.0,4.0,4.9,4.88,4.93,4.87,4.92,4.98,4.82,1.0,2.84,5,24101
1,1,97.0,1,1,1,1,1,1,1,0,3.0,3.0,1,2.0,2.0,2.0,1546.0,3.0,1125,3.0,1125.0,1.0,42,66,293,8.0,0.0,4.89,4.93,4.93,4.73,4.84,4.95,4.91,1.0,0.31,5,5440
1,1,50.0,0,1,1,1,0,0,1,0,10.0,12.0,0,1.3,1.4,1.5,1026.3,1.0,30,1.0,30.0,1.0,47,77,352,0.0,0.0,4.7,4.58,4.74,4.79,4.85,4.98,4.49,10.0,0.35,5,16718
1,1,44.0,1,1,1,1,0,0,1,0,2.0,3.0,0,1.0,1.0,1.0,324.0,1.6,1125,4.0,1125.0,0.0,0,0,267,3.0,0.0,4.71,4.71,4.9,4.81,4.81,4.95,4.76,1.0,0.17,3,1495
0,1,100.0,1,1,1,1,0,1,1,0,6.0,8.0,0,1.0,1.0,1.0,1026.3,1.6,180,4.0,1125.0,0.0,23,52,52,8.0,0.0,4.79,4.85,4.85,4.75,4.79,5.0,4.59,6.0,0.23,5,8614
0,0,0.0,0,0,1,1,0,0,1,0,1.0,3.0,0,1.5,1.0,2.0,638.0,3.0,15,3.0,15.0,1.0,59,88,88,0.0,0.0,4.84,4.96,4.94,4.87,4.89,4.96,4.8,1.0,0.54,5,14173
1,1,94.0,1,0,1,1,1,1,1,0,1.0,3.0,0,1.5,1.0,1.0,1401.0,1.0,120,1.0,1125.0,0.0,29,42,248,13.0,1.0,4.9,4.93,4.94,4.93,4.89,4.97,4.87,1.0,1.83,5,9827
0,0,0.0,0,1,1,1,0,0,1,0,3.0,3.0,0,1.0,1.0,1.0,999.0,3.0,90,3.0,90.0,0.0,0,0,0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.02,9,17908
1,1,92.0,1,0,1,1,0,0,1,0,8.0,9.0,0,1.0,1.0,1.0,2043.0,1.0,90,1.0,1125.0,,49,79,354,2.0,0.0,4.97,4.94,4.94,5.0,4.97,4.97,4.89,7.0,0.27,16,20340
1,1,92.0,1,0,1,1,0,0,1,0,8.0,9.0,0,1.0,1.0,1.0,999.0,1.0,1125,1.0,1125.0,1.0,47,77,352,8.0,0.0,4.88,4.84,4.97,4.89,4.93,4.96,4.86,7.0,0.45,16,20919
1,1,100.0,0,1,1,1,1,1,1,0,6.2,7.3,1,2.0,2.0,1.5,958.0,2.0,1125,2.9,1125.0,0.0,31,56,146,48.0,2.0,4.56,4.64,4.64,4.68,4.73,4.91,4.62,9.0,3.08,5,19315
0,0,25.0,0,1,1,1,1,1,1,0,2.0,6.0,0,1.0,2.0,2.0,1300.0,1.0,365,1.8,365.0,0.0,28,58,333,1.0,0.0,4.89,4.57,4.86,4.86,4.71,5.0,5.0,1.0,0.07,5,23436
1,1,25.0,0,1,1,1,1,1,1,0,1.0,4.0,1,2.0,2.0,3.0,1000.0,1.6,1125,5.0,1125.0,1.0,59,89,364,0.0,0.0,4.82,4.91,4.9,4.94,4.98,4.88,4.85,1.0,0.72,2,6353
1,1,97.0,1,1,1,1,1,1,1,1,16.0,16.0,1,2.0,2.0,2.0,2595.0,2.0,365,3.6,1125.0,0.0,2,2,253,4.0,0.0,4.81,4.85,4.79,4.87,4.92,4.78,4.82,16.0,2.43,5,7766
0,0,89.0,0,0,1,1,1,1,1,0,1.0,1.0,1,1.5,2.0,1.5,950.0,1.6,1125,1.8,1125.0,0.0,0,0,208,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.08,2,16395
1,1,97.0,0,0,1,1,1,1,1,1,6.2,7.3,1,1.0,1.0,2.0,1350.0,2.0,1125,2.0,1125.0,1.0,53,83,83,10.0,0.0,4.69,4.81,4.9,4.93,4.93,4.85,4.7,4.9,0.92,5,20583
1,1,98.0,0,1,1,1,1,1,1,0,6.2,7.3,0,1.0,1.0,2.0,802.0,1.0,1125,1.0,1125.0,0.0,15,45,320,34.0,2.0,4.44,4.63,4.66,4.83,4.69,4.87,4.46,4.9,1.15,5,6481
0,0,89.0,0,1,1,1,1,1,1,0,3.0,3.0,0,1.0,1.0,2.0,1011.0,1.0,365,1.0,1125.0,0.0,0,0,268,0.0,0.0,4.94,5.0,4.88,4.94,4.97,4.91,4.91,3.0,0.23,5,9947
0,0,82.0,0,1,1,1,0,0,1,0,11.0,11.0,0,1.0,1.0,1.0,1143.0,1.6,1125,1.8,1125.0,1.0,58,88,88,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,3.0,1.2,10,14455
0,1,81.0,1,1,1,1,1,1,1,0,2.0,7.0,1,3.5,1.4,1.5,1026.3,3.0,30,3.0,30.0,0.0,27,56,90,0.0,0.0,4.92,4.92,4.96,5.0,4.83,4.88,4.88,2.0,0.17,5,11188
1,1,100.0,1,1,1,1,1,1,1,1,2.0,2.0,1,1.0,2.0,2.0,1150.0,1.6,95,4.0,1125.0,0.0,10,27,296,15.0,1.0,4.81,4.9,4.85,4.93,4.9,4.98,4.84,2.0,0.85,5,5138
0,1,30.0,0,1,1,1,0,0,1,0,2.0,10.0,0,1.0,1.0,1.0,450.0,1.6,60,1.8,60.0,0.0,30,59,59,1.0,0.0,4.77,4.9,4.93,4.92,4.92,4.93,4.79,2.0,0.69,5,22387
0,1,30.0,0,1,1,1,0,0,1,0,2.0,10.0,0,1.0,1.0,1.0,350.0,1.6,60,1.8,60.0,0.0,15,44,44,2.0,0.0,4.63,4.74,4.74,4.8,4.75,4.85,4.71,2.0,1.11,5,22522
1,1,99.0,1,1,1,1,0,1,1,0,1.0,3.0,0,1.0,1.0,2.0,1049.0,1.6,1125,4.0,1125.0,0.0,31,61,240,37.0,1.0,4.68,4.91,4.81,4.8,4.78,4.92,4.73,1.0,2.2,5,18929
0,0,89.0,0,1,1,0,0,0,0,0,1.0,2.0,0,1.0,1.0,1.0,999.0,1.0,1125,1.0,1125.0,0.0,0,0,0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.04,12,3384
1,1,92.0,1,0,1,1,0,0,1,0,8.0,9.0,0,1.0,1.0,1.0,999.0,1.0,1125,1.0,1125.0,0.0,12,42,317,6.0,0.0,4.8,4.71,4.86,4.85,4.84,4.88,4.73,7.0,0.38,16,20342
1,1,100.0,0,1,1,1,0,0,1,0,4.0,5.0,0,1.0,1.0,1.0,513.0,3.0,1125,3.0,1125.0,0.0,31,56,311,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.04,12,21191
0,1,89.0,0,1,1,1,1,1,1,0,1.0,2.0,0,1.0,2.0,1.0,999.0,1.6,365,1.8,365.0,0.0,0,0,0,0.0,0.0,4.82,4.87,4.74,4.96,5.0,4.7,4.96,1.0,0.18,2,15943
0,1,60.0,0,1,1,1,1,1,1,0,1.0,1.0,1,2.0,2.0,2.0,1932.0,1.6,45,4.0,45.0,1.0,39,69,338,1.0,0.0,4.77,4.81,4.84,4.98,4.98,4.96,4.86,1.0,0.44,5,14161
1,0,98.0,1,1,1,1,0,0,1,0,7.0,8.0,1,2.0,2.0,1.5,883.0,2.0,365,2.0,365.0,0.0,17,30,259,0.0,0.0,4.86,4.88,4.94,4.94,5.0,4.76,4.94,7.0,0.38,10,14029
1,1,100.0,0,1,1,1,0,0,1,0,1.0,4.0,0,1.0,1.0,1.0,576.0,1.0,1125,1.0,1125.0,1.0,49,71,326,24.0,0.9,4.63,4.77,4.63,4.9,4.92,4.89,4.59,1.0,3.21,14,7207
1,1,100.0,1,1,1,1,1,1,1,0,2.0,4.0,1,1.0,2.0,3.0,2302.0,1.0,90,1.0,1125.0,0.0,19,47,214,35.0,1.0,4.91,4.96,4.94,4.93,4.83,4.96,4.84,1.0,2.33,5,7603
1,1,100.0,0,1,1,1,0,0,1,0,1.0,3.0,0,1.0,1.0,1.0,950.0,2.0,30,2.0,1125.0,0.0,27,42,42,10.0,1.0,4.82,4.88,4.65,4.94,4.94,4.98,4.77,1.0,0.74,10,10210
0,1,100.0,0,1,1,1,0,0,1,0,1.0,1.0,0,1.0,1.0,1.0,310.0,1.6,90,1.8,90.0,1.0,57,87,362,1.0,0.0,4.89,4.82,4.79,4.85,4.89,4.73,4.88,1.0,0.25,5,12054
